input-device,description,type,bank,channel,control,=>,output-device,description,channel,control
FaderFox,Fader1,CC,0,3,32,=>,Circuit,synth1 volume,16,12
FaderFox,Fader2,CC,0,3,33,=>,Circuit,synth2 volume,16,14
FaderFox,Fader3,CC,0,3,34,=>,Circuit,drum 1 level,10,12
FaderFox,Fader4,CC,0,3,35,=>,Circuit,drum 2 level,10,23
FaderFox,Fader5,CC,0,3,36,=>,Circuit,drum 3 level,10,45
FaderFox,Fader6,CC,0,3,37,=>,Circuit,drum 4 level,10,53
FaderFox,Fader7,CC,0,3,38,=>,Circuit,Master Filter frequency,16,74
FaderFox,Fader8,CC,0,3,39,=>,Circuit,Master Filter resonance,16,71
FaderFox,Fader1,CC,1,3,32,=>,XTouch Mini,synth1 volume,11,1
FaderFox,Fader2,CC,1,3,33,=>,XTouch Mini,synth2 volume,11,2